Comment;Designator;Footprint;;;;;;
TLE493DW1B6A1;S2;SOT-23-6;;;;;;
TLE493DW1B6A2;S3;SOT-23-6;;;;;;
TLE493DW1B6A0;S1;SOT-23-6;;;;;;
10uF;C1,C4,C3,C2;C_0805_2012Metric;;;;;;
1K2;R5,R6;R_0805_2012Metric;;;;;;
100uF;C12,C8,C14,C10;CP_Elec_6.3x7.7;;;;;;
0.45;R1,R4,R2,R3;R_1206_3216Metric_Pad1.30x1.75mm_HandSolder;;;;;;
100nF;C7,C5,C9,C6,C11,C13,C15;C_0603_1608Metric;;;;;;
A4950E;M3,M4,M2,M1;SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm;;;;;;
LM1117S-5.0;U2;SOT-223-3_TabPin2;;;;;;
SSM-124-L-SV;J3,J2;PinSocket_1x24_P2.54mm_Vertical_SMD_Pin1Left;;;;;;
PJ-036AH-SMT-TR;J1;BarrelJack_CUI_PJ-036AH-SMT_Horizontal;;;;;;
LM1117S-3.3;U1;SOT-223-3_TabPin2;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
