Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4",0805,4,10uF,
"C10, C12, C14, C8",CP_Elec_6.3x7.7,4,100uF,
"C11, C13, C15, C5, C6, C7, C9",0603,7,100nF,
J1,BarrelJack_CUI_PJ-036AH-SMT_Horizontal,1,PJ-036AH-SMT-TR,
"J2, J3",PinSocket_1x24_P2.54mm_Vertical_SMD_Pin1Left,2,SSM-124-L-SV,
"M1, M2, M3, M4",SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm,4,A4950E,
"R1, R2, R3, R4",1206,4,0.45,
"R5, R6",0805,2,1K2,
S1,SOT-23-6,1,TLE493DW1B6A0,
S2,SOT-23-6,1,TLE493DW1B6A1,
S3,SOT-23-6,1,TLE493DW1B6A2,
U1,SOT-223-3_TabPin2,1,LM1117S-3.3,
U2,SOT-223-3_TabPin2,1,LM1117S-5.0,
